NO_REGIAO;TP_DIMENSAO;TP_CATEGORIA_ADMINISTRATIVA;QT_VG_TOTAL;QT_VG_NOVA;QT_ING;QT_CONC;QT_INSCRITO_TOTAL
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;5;1;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;9;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;4;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;3;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;5;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;4;1;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;4;0;0
Centro-Oeste;2;4;0;0;11;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;5;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;5;0;0;0;0;0
Centro-Oeste;2;5;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;4;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;8;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;4;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;14;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;8;0;0
Centro-Oeste;2;5;0;0;1;0;0
Centro-Oeste;2;5;0;0;1;0;0
Centro-Oeste;2;5;0;0;0;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;5;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;1;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;5;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;4;0;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;3;0;0
Centro-Oeste;2;5;0;0;2;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;5;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;5;0;0;1;1;0
Centro-Oeste;2;5;0;0;0;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;3;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;1;0;0;548;0;0
Centro-Oeste;2;4;0;0;3;1;0
Centro-Oeste;2;4;0;0;8;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;7;0;0
Centro-Oeste;2;4;0;0;4;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;4;1;0
Centro-Oeste;2;4;0;0;1;1;0
Centro-Oeste;2;4;0;0;4;0;0
Centro-Oeste;2;5;0;0;6;11;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;5;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;2;0
Centro-Oeste;2;4;0;0;5;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;5;0;0
Centro-Oeste;2;4;0;0;3;0;0
Centro-Oeste;2;4;0;0;4;0;0
